Page,Component_Type,Current_Name,Required_Name,Status,Severity,Category,Issue_Description,Recommended_Action
1,Region,DEMO Region,R_DEMO_MAIN,NON-FOLLOWS,HIGH,Naming Convention,"Generic naming, missing R_ prefix",Rename to R_DEMO_MAIN following R_<PURPOSE>_<DETAIL> pattern
1,Region,Code_review,R_CODE_REVIEW_DETAILS,NON-FOLLOWS,HIGH,Naming Convention,"Mixed case formatting, missing R_ prefix",Rename to R_CODE_REVIEW_DETAILS with proper uppercase and prefix
1,Button,Submit,BTN_SUBMIT_FORM,NON-FOLLOWS,MEDIUM,Naming Convention,"Generic naming, missing BTN_ prefix, no action specificity",Rename to BTN_SUBMIT_FORM following BTN_<ACTION>_<DETAIL> pattern
1,Page Item,P1_DEMO,P1_DEMO_INPUT,NON-FOLLOWS,MEDIUM,Naming Convention,"Not descriptive, missing purpose suffix",Rename to P1_DEMO_INPUT to indicate text input purpose
1,Page Item,P1_SMAPLE,P1_SAMPLE_INPUT,NON-FOLLOWS,CRITICAL,Spelling Error + Naming,"Spelling error (SMAPLE should be SAMPLE), not descriptive","Rename to P1_SAMPLE_INPUT, correct spelling, add descriptive suffix"
2,Region,Breadcrumb,R_BREADCRUMB_NAV,NON-FOLLOWS,MEDIUM,Naming Convention,"Generic naming, missing R_ prefix",Rename to R_BREADCRUMB_NAV following region naming standards
2,Region,New (Form),R_EMPLOYEE_FORM,NON-FOLLOWS,HIGH,Naming Convention,"Generic naming, no contextual information",Rename to R_EMPLOYEE_FORM to indicate employee form region
2,Region,New (Report),R_EMPLOYEE_REPORT,NON-FOLLOWS,CRITICAL,Naming Convention + Code Quality,"Generic naming, uses SELECT * without explicit columns, no WHERE clause","Rename to R_EMPLOYEE_REPORT and rewrite SQL: SELECT E.ID AS EMP_ID, E.NAME AS EMPLOYEE_NAME, E.AGE, E.SALARY, E.NEW FROM XXCICD_EMP E WHERE E.STATUS = 'ACTIVE' ORDER BY E.NAME"
2,Button,New,BTN_SUBMIT_EMP,NON-FOLLOWS,HIGH,Naming Convention,"Generic naming, no action indication",Rename to BTN_SUBMIT_EMP following BTN_<ACTION>_<DETAIL> pattern
2,Page Item,P2_SAMPLE,P2_EMP_NAME_INPUT,NON-FOLLOWS,MEDIUM,Naming Convention,"Generic naming, not contextual to employee form usage",Rename to P2_EMP_NAME_INPUT to indicate purpose
2,Dynamic Action,New,CHANGE_P2_SAMPLE_DY,NON-FOLLOWS,MEDIUM,Naming Convention,"Generic naming, event type not indicated in name",Rename to CHANGE_P2_SAMPLE_DY following <EVENT>_<TARGET>_DY pattern
2,Process,PR_USER,PR_EMP_FETCH,NON-FOLLOWS,CRITICAL,Code Quality + Naming,"Non-descriptive naming; critical code issues: uses APEX-reserved prefix P_, no exception handling, SELECT * without explicit columns, no APEX_DEBUG logging, missing input validation, missing %TYPE anchors",REWRITE ENTIRE PROCESS: 1) Rename to PR_EMP_FETCH 2) Use lc_emp_name (not P_NAME) 3) Add exception handling 4) Add APEX_DEBUG logging 5) Use explicit column selection 6) Add input validation 7) Use %TYPE anchors
2,SQL Query,SELECT * FROM XXCICD_EMP,Explicit Column Select,NON-FOLLOWS,CRITICAL,SQL Best Practice,SELECT * returns all columns without control; no table aliases; no column aliases; keywords not uppercase; no WHERE clause; unpredictable if table schema changes,"Replace with: SELECT E.ID AS EMP_ID, E.NAME AS EMPLOYEE_NAME, E.AGE AS EMPLOYEE_AGE, E.SALARY AS EMPLOYEE_SALARY, E.NEW AS STATUS_FLAG FROM XXCICD_EMP E WHERE E.STATUS = 'ACTIVE' ORDER BY E.NAME"
3,Page,CODE_REVIEW_FOR_HTML_CSS_JAVASCRIPT,CODE_REVIEW_HTML_CSS_JAVASCRIPT,FOLLOWS,N/A,N/A,None - follows naming standards,No action required
